"Vin#","Year","Vehicle","Mileage","Drive Train","Engine Size","Price$","State","Buy Now Price","URL"
"1C4RDHDG2RC225890",2024,"Dodge Durango GT",13622,"RWD","3.6L",29700,"North Carolina",,"https://smartauctionlogin.com/ui/vehicles/aac39774-b9a7-4c36-82b1-b6ad33f530f4"
"1V2FE2CA8SC224919",2025,"Volkswagen Atlas Cross Sport 2.0T SEL Premium R-Line",17593,"AWD","2.0L",38700,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/28bdd78a-1afd-4aee-b705-e04def3c416a"
"1C6SRFJT6NN402584",2022,"Ram Pickup 1500 Laramie",30636,"4WD","Engine Size Unspecified",40300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/6cf035cd-c659-4a3f-8f98-7e1e41feb133"
"3GNAXHEG3SL158995",2025,"Chevrolet Equinox FWD LT",14456,"FWD","1.5L",24500,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/d6e45be0-5b79-4be8-afd2-f48e12dd0c4f"
"1C4RJKEG7P8803468",2023,"Jeep Grand Cherokee L Summit",30819,"4WD","Engine Size Unspecified",42700,"Florida",,"https://smartauctionlogin.com/ui/vehicles/0e838763-cc98-4151-bd47-9a1779ef48b3"
"1C4RJJBG3N8548314",2022,"Jeep Grand Cherokee L Limited",44732,"RWD","3.6L",26800,"Florida",,"https://smartauctionlogin.com/ui/vehicles/9eb3e924-6eb5-4783-a5b3-2984147ea84c"
"1C4PJMMX7MD176021",2021,"Jeep Cherokee Latitude Lux",34892,"4WD","Engine Size Unspecified",20700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fcde5d59-1a5e-46ae-8afa-f47c13fe4853"
"KNDETCA75S7739756",2025,"Kia Seltos SX",4311,"AWD","1.6L",27600,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/562deb01-0d71-4750-af45-0ee783674bce"
"1C6SRFRT0PN578084",2023,"Ram Pickup 1500 Laramie",42311,"4WD","5.7L",39900,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/78d063bc-2222-4856-b806-e645262409a1"
"1C4HJXEN9PW550947",2023,"Jeep Wrangler Unlimited Sahara",20894,"4WD","Engine Size Unspecified",33200,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/e83a5343-87ba-4229-962a-54df21034525"
"WBA7T2C07LGL17621",2020,"BMW 7 series 740i",63795,"RWD","3.0L",28900,"Florida",,"https://smartauctionlogin.com/ui/vehicles/9d00c763-d5af-4d78-b41a-d3cc150fc791"
"1FMDE7BH5SLA79404",2025,"Ford Bronco Big Bend",3356,"4WD","2.3L",37700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/7a807a64-e0f4-4bb0-bf76-c3e18acf29b6"
"1C6SRFFT0NN391509",2022,"Ram Pickup 1500 Big Horn",55501,"4WD","Engine Size Unspecified",33300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/7e58b3b0-a51d-4b0c-927a-e71224156940"
"3GKALXEG3RL254350",2024,"GMC Terrain Denali",31165,"AWD","1.5L",28800,"Louisiana",,"https://smartauctionlogin.com/ui/vehicles/ff3c5cb8-7352-4810-adeb-3999da3a0d50"
"1C4HJXDN6NW241774",2022,"Jeep Wrangler Unlimited Unlimited Willys",34871,"4WD","Engine Size Unspecified",27600,"Florida",,"https://smartauctionlogin.com/ui/vehicles/51e0a292-bced-418e-b811-3c3420d84353"
"JHMFL5G43SX003796",2025,"Honda Civic Type R Trim Unspecified",1548,"FWD","2.0L",45200,"Florida",,"https://smartauctionlogin.com/ui/vehicles/2721974e-f5c5-45b8-ae2b-48d2f01e5773"
"1GCPYAEH4KZ385010",2019,"Chevrolet Silverado 1500 Work Truck",89202,"4WD","Engine Size Unspecified",21200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/27647ca6-1536-4c74-9eb7-b333e19fccc7"
"1C4RJKBG5P8719475",2023,"Jeep Grand Cherokee L Limited",40615,"4WD","3.6L",31100,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/856391ea-370c-4b2f-89e4-57e793145dc6"
"1C4RDJAG6PC598245",2023,"Dodge Durango SXT Launch Edition",44300,"AWD","3.6L",25700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/df106a14-a75f-4292-a835-daa416fd2139"
"1C4RJJBG2N8636366",2022,"Jeep Grand Cherokee L Limited",35828,"RWD","3.6L",27400,"Florida",,"https://smartauctionlogin.com/ui/vehicles/2d7bf05c-6a29-4bdb-ac73-30777d598af1"
"1C4HJXEN3MW812375",2021,"Jeep Wrangler Unlimited Unlimited Sahara",41006,"4WD","Engine Size Unspecified",28900,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/203e7971-375f-40ac-9ba2-3094ca55ff9d"
"5YJYGDEE7LF003736",2020,"Tesla Model Y Long Range",84039,"AWD","Engine Size Unspecified",21000,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/56c3589b-5034-412c-8454-2e6cfa925716"
"1C6RRFFGXPN696892",2023,"Ram Pickup 1500 Big Horn",22496,"4WD","Engine Size Unspecified",36300,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/df1b6d62-490a-43e6-b262-cdece8b8e2ee"
"1C4SJUBT7NS146539",2022,"Jeep Wagoneer Series II",60193,"RWD","5.7L",36000,"Florida",,"https://smartauctionlogin.com/ui/vehicles/b643c21f-fe8f-4f6d-abcf-0c332c332c0b"
"1C4RJKAG3P8711683",2023,"Jeep Grand Cherokee L Altitude",35072,"4WD","3.6L",29700,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/bd1c15bf-9872-4c49-918b-4e47461a5a7b"
"1C6SRFJT3NN351755",2022,"Ram Pickup 1500 Laramie",22279,"4WD","Engine Size Unspecified",41800,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/711837c1-c91f-4415-964b-2c685661efcb"
"WP1BA2AYXLDA46839",2020,"Porsche Cayenne Trim Unspecified",62297,"AWD","3.0L",37200,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/b19109ec-e064-4351-b4de-1906e2f598a3"
"1C6SRFJT7NN392275",2022,"Ram Pickup 1500 Laramie",19440,"4WD","Engine Size Unspecified",42200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/34915766-ff18-4469-9442-c2e48e493435"
"1C6SRFFTXNN427531",2022,"Ram Pickup 1500 Big Horn",33294,"4WD","Engine Size Unspecified",36200,"Ohio",,"https://smartauctionlogin.com/ui/vehicles/acf2e162-de5b-4be3-8124-23863e92733e"
"1C4RJKAG7N8572753",2022,"Jeep Grand Cherokee L Laredo",56974,"4WD","3.6L",25800,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/35bd0fe7-1e25-44d3-b795-ac3e39809d2b"
"3C4NJDCB7NT201394",2022,"Jeep Compass High Altitude",32574,"4WD","2.4L",22100,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/49706544-ccd4-4c31-afb5-fd36feda6b29"
"3C4NJDCB3NT233257",2022,"Jeep Compass Limited",20664,"4WD","2.4L",23000,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fe4ddec1-3c42-47aa-9d5a-1c418508a13f"
"1C6SRFFTXKN765832",2019,"Ram Pickup 1500 Big Horn/Lone Star",77239,"4WD","Engine Size Unspecified",25100,"Illinois",,"https://smartauctionlogin.com/ui/vehicles/b2558d6c-f2fc-408a-965b-f0df06217ce0"
"1GTR1MEC8JZ360287",2018,"GMC Sierra 1500 SLE",86021,"RWD","Engine Size Unspecified",19700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/f5736ab8-b2b7-43e5-ae1a-49059e1b8db5"
"1C4RDJEG1PC592492",2023,"Dodge Durango Citadel",30063,"AWD","Engine Size Unspecified",35700,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/c6b1c7bb-7100-4c77-be08-44db03231499"
"1GNSKGKL3NR322323",2022,"Chevrolet Suburban 1500 High Country",42301,"4WD","6.2L",56500,"Florida",,"https://smartauctionlogin.com/ui/vehicles/c0cb0324-acc5-493c-989f-b32643448b06"
"5TFMA5DB0PX102505",2023,"Toyota Tundra 1794 Edition",25777,"4WD","3.4L",53000,"Florida",,"https://smartauctionlogin.com/ui/vehicles/531e7b78-9328-4d4c-91db-0af6a310cb3b"
"1C4RJHBG9PC533714",2023,"Jeep Grand Cherokee Limited",25430,"4WD","3.6L",31800,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/909d086c-3588-4255-8e38-223a89a318a9"
"4S4BTANC9P3222372",2023,"Subaru Outback Limited",24149,"AWD","2.5L",28600,"Massachusetts",,"https://smartauctionlogin.com/ui/vehicles/1128dd96-b8c0-4612-8cd7-73ed2692b80d"
"1GYS4CKJ4HR253988",2017,"Cadillac Escalade Premium Luxury",98019,"4WD","6.2L",24100,"Illinois",,"https://smartauctionlogin.com/ui/vehicles/f7d9a5ff-bf94-4171-9172-82c1606524ea"
"1FTEW1EG2JFA97362",2018,"Ford F-150 XLT",105492,"4WD","Engine Size Unspecified",19400,"Oklahoma",,"https://smartauctionlogin.com/ui/vehicles/7d830e40-75b9-4f63-bbdf-03b61a08f03f"
"1C6SRFFT7PN652105",2023,"Ram Pickup 1500 Big Horn",25579,"4WD","Engine Size Unspecified",38900,"Indiana",,"https://smartauctionlogin.com/ui/vehicles/cf62d44b-67ee-4995-9f59-5304081395ba"
"1C4RJHAG8PC562722",2023,"Jeep Grand Cherokee Laredo",32408,"4WD","3.6L",29900,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/70f09379-9f99-423e-9089-9e21c3a48b17"
"1GYFZCR45RF148379",2024,"Cadillac XT4 FWD Premium Luxury",38969,"FWD","2.0L",29700,"Alabama",,"https://smartauctionlogin.com/ui/vehicles/d6c370b4-b657-4c0b-b9f9-941d0f4cd9a9"
"5YJ3E1EA1SF972037",2025,"Tesla Model 3 Standard",10997,"RWD","Engine Size Unspecified",36300,"Florida",,"https://smartauctionlogin.com/ui/vehicles/b3dad698-7159-4506-ad52-059aaffaf7bb"
