"Vin#","Year","Vehicle","Mileage","Drive Train","Engine Size","Price$","State","Buy Now Price","URL"
"1FTFW1E4XKFC91231",2019,"Ford F-150 XLT",77625,"4WD","Engine Size Unspecified",23200,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/00f3c584-433f-4b3e-88e3-55e4a9665789"
"1C6SRFKTXLN203372",2020,"Ram Pickup 1500 Longhorn",69406,"4WD","Engine Size Unspecified",37700,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/aa4499cd-6300-4bb3-b5bf-40d10a88eff3"
"1C4RJXFG2RW226360",2024,"Jeep Wrangler Unlimited Rubicon",9315,"4WD","Engine Size Unspecified",44400,"Alabama",,"https://smartauctionlogin.com/ui/vehicles/083ff01b-8ef2-4301-a731-77ca8dc2aab2"
"1C4RJHAGXRC121600",2024,"Jeep Grand Cherokee Altitude",29390,"4WD","3.6L",31100,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/d1b2af82-5c23-436a-bbc2-5e4549c2b7a7"
"1C4RJHAG3PC549246",2023,"Jeep Grand Cherokee Laredo",46062,"4WD","3.6L",28800,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/5c0be132-f52f-4726-bd06-d25a0c5493e3"
"1GCUYEED5KZ264753",2019,"Chevrolet Silverado 1500 RST",58964,"4WD","Engine Size Unspecified",31900,"Louisiana",,"https://smartauctionlogin.com/ui/vehicles/228d154c-2576-4822-adb7-039db9118901"
"WDDSJ4EB9KN710419",2019,"Mercedes-Benz CLA-Class CLA 250",45611,"FWD","2.0L",18100,"Florida",,"https://smartauctionlogin.com/ui/vehicles/67d4c109-aa44-47fd-96ae-cb4430c242a8"
"1C6RR7GG6NS230587",2022,"Ram 1500 Classic Warlock",30840,"4WD","Engine Size Unspecified",31300,"Minnesota",,"https://smartauctionlogin.com/ui/vehicles/0456d829-8e13-445c-bafa-49df99e5570a"
"1GNSKNKD7PR120214",2023,"Chevrolet Tahoe LT",30937,"4WD","Engine Size Unspecified",53200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/375961a6-e912-444f-bb2b-50fd1af18c4a"
"5TFLA5DB9NX046430",2022,"Toyota Tundra SR5",47987,"4WD","3.4L",40000,"Pennsylvania",,"https://smartauctionlogin.com/ui/vehicles/4aed7afb-ef70-43ca-b7ce-73205b78fddd"
"1C4HJXEN3NW251953",2022,"Jeep Wrangler Unlimited Unlimited Sahara",28055,"4WD","Engine Size Unspecified",36000,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/d1aab1c1-880a-4199-8bda-5c9d99c5f852"
"4JGFF5KEXSB351628",2025,"Mercedes-Benz GLS GLS 450",7451,"AWD","3.0L",76400,"Oklahoma",,"https://smartauctionlogin.com/ui/vehicles/88568f15-842d-4774-8ecf-0eade04d840f"
"1C6SRFFT2KN777862",2019,"Ram Pickup 1500 Big Horn/Lone Star",63162,"4WD","Engine Size Unspecified",28400,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/c5abdd99-477f-44b8-825a-020d9e94b8ed"
"1GCUYGED8LZ257132",2020,"Chevrolet Silverado 1500 LTZ",97654,"4WD","Engine Size Unspecified",31600,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/73a08cfe-e93a-4863-9584-1e5e8f243c7a"
"3C6UR5CJ7NG304929",2022,"Ram Pickup 2500 Tradesman",44264,"4WD","Engine Size Unspecified",32700,"Vermont",,"https://smartauctionlogin.com/ui/vehicles/b9e735ae-0944-49ec-8103-6c0f74a25d91"
"1C4HJXDG4NW155428",2022,"Jeep Wrangler Unlimited Unlimited Sport S",47507,"4WD","Engine Size Unspecified",30000,"South Carolina",,"https://smartauctionlogin.com/ui/vehicles/c4926758-5323-400b-b838-83b7de71e968"
"1C4PJXEG9RW262345",2024,"Jeep Wrangler Unlimited Sahara",14326,"4WD","Engine Size Unspecified",40900,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/64126cac-c4cf-4220-a52f-c4d0e4315355"
"1GYS4FKL5PR321572",2023,"Cadillac Escalade 4WD Sport",21072,"4WD","Engine Size Unspecified",78200,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/f24e0079-703b-4fd3-8a90-518e5d7de493"
"1C4HJXDG1NW224267",2022,"Jeep Wrangler Unlimited Unlimited Willys",28971,"4WD","Engine Size Unspecified",33200,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/716172dc-56f7-43e9-8111-338860d16d1a"
"1C4HJXDG5NW192178",2022,"Jeep Wrangler Unlimited Unlimited Willys",39405,"4WD","Engine Size Unspecified",31800,"New Jersey",,"https://smartauctionlogin.com/ui/vehicles/38032393-6f1b-469c-8775-5eaaaade3fcb"
"1FTFW1E83NFB49407",2022,"Ford F-150 XLT",107624,"4WD","Engine Size Unspecified",29700,"Tennessee",,"https://smartauctionlogin.com/ui/vehicles/153aa5b5-c1d6-4888-842a-7fb8c9a2798a"
"1C4HJXDG8NW134727",2022,"Jeep Wrangler Unlimited Unlimited Sport",47664,"4WD","Engine Size Unspecified",31000,"Michigan",,"https://smartauctionlogin.com/ui/vehicles/fec6cc27-df6e-4402-803c-48b37b571885"
"1GKS1FKD2NR305323",2022,"GMC Yukon XL SLE",73468,"RWD","Engine Size Unspecified",36100,"Maryland",,"https://smartauctionlogin.com/ui/vehicles/d1f3a9f8-6f68-493c-aa13-30b12cda581f"
"1GYS3BKJ9JR161293",2018,"Cadillac Escalade Luxury",67051,"RWD","6.2L",27800,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/10299991-4985-4a04-8020-8645e311f83a"
"5UXCR6C53KLL09720",2019,"BMW X5 xDrive40i",90485,"AWD","3.0L",27600,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/aa15c2f4-7c34-41a1-ac2a-fe1a42743039"
"1C4HJXDGXNW116620",2022,"Jeep Wrangler Unlimited Unlimited Willys",87139,"4WD","Engine Size Unspecified",26500,"Connecticut",,"https://smartauctionlogin.com/ui/vehicles/b73ee3cd-c49c-4ca6-bc7d-b86f4321832b"
"1FTFW1E5XPKF22488",2023,"Ford F-150 XL",57250,"4WD","Engine Size Unspecified",44400,"North Carolina",,"https://smartauctionlogin.com/ui/vehicles/de4caf3a-3770-4b75-814f-54bf4f80c5ab"
"LPSBE0YL0LB000199",2020,"Polestar Polestar 1 Trim Unspecified",19599,"AWD","2.0L",51300,"Georgia",,"https://smartauctionlogin.com/ui/vehicles/5660ad92-1417-43a8-abab-c9b50ba95e2c"
